model,data_type,n,p,N_sim,tau,rho,lam,SE,PE,l_inf,FPR,FNR,TPR
Vani,dirichlet,100,100,100,9.5,0.5,31.78,6.734(0.084),214.239(4.161),1.387(0.011),0.081(0.009),0.517(0.03),0.483(0.03)
Eric,dirichlet,100,100,100,NA,0.5,0.78,5.74(0.119),3.295(0.101),1.329(0.015),0.(0.),0.56(0.019),0.(0.)
Coda,dirichlet,100,100,100,NA,0.5,0.53,6.29(0.072),3.681(0.084),1.336(0.011),0.(0.),0.408(0.022),0.(0.)
CoCo,dirichlet,100,100,100,NA,0.5,0.81,5.873(0.111),3.595(0.094),1.348(0.014),0.(0.),0.652(0.02),0.(0.)
Vani,dirichlet,100,100,100,NA,0.5,0.52,6.316(0.07),3.735(0.08),1.337(0.01),0.(0.),0.458(0.023),0.(0.)
Debi,dirichlet,100,100,100,NA,0.5,0.52,6.316(0.07),3.735(0.08),1.337(0.01),0.(0.),0.458(0.023),0.(0.)
Coda,dirichlet,100,100,100,10.5,0.5,36.61,7.022(0.068),225.138(4.284),1.412(0.009),0.069(0.008),0.56(0.028),0.44(0.028)
Vani,dirichlet,100,100,100,10.5,0.5,37.12,7.03(0.07),229.306(4.324),1.419(0.009),0.068(0.009),0.592(0.03),0.408(0.03)
Coda,dirichlet,100,100,100,11.5,0.5,42.69,7.26(0.053),237.377(4.333),1.44(0.008),0.056(0.007),0.645(0.027),0.355(0.027)
Coda,dirichlet,100,100,100,12.5,0.5,47.41,7.4(0.045),245.418(4.402),1.455(0.006),0.052(0.007),0.703(0.026),0.297(0.026)
Vani,dirichlet,100,100,100,12.5,0.5,47.92,7.399(0.046),249.573(4.363),1.456(0.006),0.05(0.008),0.727(0.026),0.273(0.026)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.366(0.011),0(0),1(0)
Debi,dirichlet,100,100,100,1.5,0.5,0.32,0.452(0.01),16.698(0.399),0.222(0.005),0.351(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,2.5,0.5,0.52,1.147(0.027),31.61(0.693),0.374(0.01),0.35(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,3.5,0.5,0.67,2.39(0.056),53.281(1.077),0.526(0.014),0.309(0.007),0.007(0.003),0.993(0.003)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.222(0.008),0.192(0.028),0.808(0.028)
Debi,dirichlet,100,100,100,5.5,0.5,1.09,2292.858(634.019),41905.985(12112.414),8.34(0.996),0.229(0.019),0.643(0.03),0.357(0.03)
Debi,dirichlet,100,100,100,6.5,0.5,1.38,258666.497(211528.339),4969029.566(3875098.931),34.132(16.686),0.225(0.023),0.76(0.026),0.24(0.026)
Debi,dirichlet,100,100,100,7.5,0.5,1.66,21252.24(12789.792),560831.716(339294.312),15.542(4.029),0.268(0.025),0.702(0.029),0.298(0.029)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.373(0.025),0.642(0.027),0.358(0.027)
Debi,dirichlet,100,100,100,9.5,0.5,2.28,143218.223(100080.166),3747565.096(2481001.968),27.916(11.619),0.417(0.027),0.567(0.033),0.433(0.033)
Debi,dirichlet,100,100,100,10.5,0.5,2.4,11225.349(4431.133),323545.332(129040.703),14.41(2.694),0.458(0.026),0.533(0.032),0.467(0.032)
Debi,dirichlet,100,100,100,11.5,0.5,2.6,176564.811(167726.276),5489324.948(5199907.262),22.16(11.038),0.449(0.025),0.55(0.031),0.45(0.031)
Debi,dirichlet,100,100,100,12.5,0.5,2.65,1120730.762(1112121.846),30830406.834(30609922.379),35.187(25.703),0.501(0.027),0.488(0.031),0.512(0.031)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.293(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.384(0.011),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.439(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.483(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.523(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.559(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.594(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.624(0.008),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.651(0.008),0(0),1(0)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.678(0.007),0(0),1(0)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.156(0.007),0.22(0.031),0.78(0.031)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.238(0.009),0.185(0.028),0.815(0.028)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.298(0.009),0.163(0.027),0.837(0.027)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.352(0.01),0.142(0.025),0.858(0.025)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.4(0.01),0.13(0.023),0.87(0.023)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.441(0.011),0.107(0.02),0.893(0.02)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.482(0.011),0.095(0.017),0.905(0.017)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.519(0.011),0.087(0.016),0.913(0.016)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.557(0.01),0.077(0.014),0.923(0.014)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.589(0.01),0.073(0.014),0.927(0.014)

Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.271(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.215(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.248(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.288(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.907(0.003),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),0.953(0.002),0(0),1(0)
Debi,dirichlet,100,100,100,0.7,0.5,0.16,0.109(0.002),4.557(0.107),0.104(0.002),1(0),0(0),1(0)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.071(0.005),0.262(0.032),0.738(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.101(0.006),0.247(0.032),0.753(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.12(0.006),0.235(0.032),0.765(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.135(0.007),0.228(0.032),0.772(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.15(0.007),0.22(0.031),0.78(0.031)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.813(0.006),0.037(0.009),0.963(0.009)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.874(0.005),0.027(0.008),0.973(0.008)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.94(0.003),0.017(0.006),0.983(0.006)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.157(0.02),0.848(0.022),0.152(0.022)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.211(0.022),0.805(0.024),0.195(0.024)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.243(0.023),0.775(0.025),0.225(0.025)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.263(0.024),0.747(0.026),0.253(0.026)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.278(0.024),0.723(0.026),0.277(0.026)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.373(0.025),0.642(0.027),0.358(0.027)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.513(0.023),0.498(0.026),0.502(0.026)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.606(0.021),0.403(0.026),0.597(0.026)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.677(0.018),0.315(0.023),0.685(0.023)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.742(0.015),0.243(0.021),0.757(0.021)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.797(0.013),0.202(0.018),0.798(0.018)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.846(0.012),0.147(0.015),0.853(0.015)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.891(0.01),0.112(0.013),0.888(0.013)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.934(0.007),0.062(0.01),0.938(0.01)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.98(0.003),0.022(0.006),0.978(0.006)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0(0),1(0),0(0)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.048(0.004),0.282(0.033),0.718(0.033)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.056(0.004),0.272(0.033),0.728(0.033)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.063(0.005),0.263(0.032),0.737(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.071(0.005),0.262(0.032),0.738(0.032)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.751(0.007),0.047(0.011),0.953(0.011)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.782(0.007),0.04(0.01),0.96(0.01)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.813(0.006),0.037(0.009),0.963(0.009)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.843(0.005),0.035(0.009),0.965(0.009)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.874(0.005),0.027(0.008),0.973(0.008)
Debi,dirichlet,100,100,100,0.5,0.5,0.12,0.059(0.001),2.492(0.057),0.076(0.002),0.528(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,1.5,0.5,0.32,0.452(0.01),16.698(0.399),0.222(0.005),0.491(0.01),0(0),1(0)
Debi,dirichlet,100,100,100,2.5,0.5,0.52,1.147(0.027),31.61(0.693),0.374(0.01),0.442(0.009),0(0),1(0)
Debi,dirichlet,100,100,100,3.5,0.5,0.67,2.39(0.056),53.281(1.077),0.526(0.014),0.39(0.007),0.005(0.003),0.995(0.003)
Debi,dirichlet,100,100,100,4.5,0.5,0.84,817.442(340.166),11257.352(4616.814),2.93(0.708),0.28(0.009),0.172(0.027),0.828(0.027)
Debi,dirichlet,100,100,100,5.5,0.5,1.09,2292.858(634.019),41905.985(12112.414),8.34(0.996),0.259(0.02),0.625(0.03),0.375(0.03)
Debi,dirichlet,100,100,100,6.5,0.5,1.38,258666.497(211528.339),4969029.566(3875098.931),34.132(16.686),0.239(0.023),0.738(0.027),0.262(0.027)
Debi,dirichlet,100,100,100,7.5,0.5,1.66,21252.24(12789.792),560831.716(339294.312),15.542(4.029),0.256(0.024),0.715(0.028),0.285(0.028)
Debi,dirichlet,100,100,100,8.5,0.5,2.14,47355.229(44123.654),1283681.939(1190537.85),14.131(5.149),0.346(0.025),0.665(0.028),0.335(0.028)
Debi,dirichlet,100,100,100,9.5,0.5,2.28,143218.223(100080.166),3747565.096(2481001.968),27.916(11.619),0.36(0.025),0.62(0.03),0.38(0.03)
Eric,dirichlet,100,100,100,4.5,0.5,43.92,6.837(0.087),214.57(2.471),1.384(0.013),0.001(0),0.66(0.02),0.34(0.02)
Eric,dirichlet,100,100,100,4.5,0.5,30.53,5.223(0.114),154.527(2.264),1.226(0.018),0.005(0.001),0.387(0.018),0.613(0.018)
Eric,dirichlet,100,100,100,4.5,0.5,21.23,3.583(0.099),98.571(1.569),1.033(0.019),0.016(0.001),0.188(0.014),0.812(0.014)
Eric,dirichlet,100,100,100,4.5,0.5,14.76,2.433(0.086),60.464(1.312),0.881(0.019),0.05(0.002),0.078(0.01),0.922(0.01)
Eric,dirichlet,100,100,100,4.5,0.5,10.26,1.823(0.074),38.987(1.077),0.782(0.019),0.12(0.004),0.043(0.007),0.957(0.007)
Eric,dirichlet,100,100,100,4.5,0.5,7.13,1.807(0.073),34.861(1.107),0.724(0.019),0.218(0.004),0.037(0.007),0.963(0.007)
Eric,dirichlet,100,100,100,4.5,0.5,4.96,3.52(0.248),72.379(5.751),0.812(0.028),0.335(0.004),0.043(0.007),0.957(0.007)
Eric,dirichlet,100,100,100,4.5,0.5,3.45,137.356(47.221),2651.631(936.385),2.74(0.373),0.473(0.006),0.093(0.012),0.907(0.012)
Eric,dirichlet,100,100,100,4.5,0.5,2.4,15077.359(2084.038),272206.551(39217.873),32.856(2.872),0.639(0.007),0.18(0.016),0.82(0.016)
Eric,dirichlet,100,100,100,4.5,0.5,1.67,78653.156(5833.127),1394944.037(110116.409),85.231(3.992),0.75(0.005),0.147(0.014),0.853(0.014)
Eric,dirichlet,100,100,100,4.5,0.5,1.16,167251.587(8982.656),2959724.141(173629.995),124.121(4.199),0.829(0.004),0.098(0.012),0.902(0.012)
Eric,dirichlet,100,100,100,4.5,0.5,0.81,255667.925(11335.002),4524382.178(222960.372),151.357(4.351),0.88(0.004),0.063(0.01),0.937(0.01)
Eric,dirichlet,100,100,100,4.5,0.5,0.56,330692.664(13015.564),5833146.884(259019.721),170.413(4.47),0.92(0.003),0.037(0.008),0.963(0.008)
Eric,dirichlet,100,100,100,4.5,0.5,0.39,389804.556(14221.687),6856223.254(285655.337),183.328(4.575),0.951(0.002),0.025(0.006),0.975(0.006)
Eric,dirichlet,100,100,100,4.5,0.5,0.27,434371.035(15060.753),7622887.647(304497.607),192.035(4.649),0.967(0.002),0.012(0.004),0.988(0.004)
Eric,dirichlet,100,100,100,4.5,0.5,0.19,467115.064(15654.515),8181824.436(317875.661),198.028(4.705),0.981(0.002),0.008(0.004),0.992(0.004)
Eric,dirichlet,100,100,100,4.5,0.5,0.13,490727.747(16069.96),8584030.955(327360.576),202.147(4.745),0.988(0.001),0.007(0.003),0.993(0.003)
Eric,dirichlet,100,100,100,4.5,0.5,0.09,507584.74(16361.074),8871234.449(334034.686),204.986(4.773),0.991(0.001),0.005(0.003),0.995(0.003)
Eric,dirichlet,100,100,100,4.5,0.5,0.06,519516.999(16564.004),9074601.066(338684.113),206.95(4.793),0.995(0.001),0.002(0.002),0.998(0.002)
Eric,dirichlet,100,100,100,4.5,0.5,0.04,527916.554(16706.155),9217471.031(341926.521),208.32(4.807),0.997(0.001),0(0),1(0)
Eric,dirichlet,100,100,100,8.5,0.5,195.59,7.78(0),258.056(4.029),1.5(0),0(0),1(0),0(0)
Eric,dirichlet,100,100,100,8.5,0.5,153.49,7.78(0),258.056(4.029),1.5(0),0(0),1(0),0(0)
Eric,dirichlet,100,100,100,8.5,0.5,120.45,7.78(0),258.056(4.029),1.5(0),0(0),1(0),0(0)
Eric,dirichlet,100,100,100,8.5,0.5,94.53,7.78(0),258.053(4.028),1.5(0),0(0),0.997(0.002),0.003(0.002)
Eric,dirichlet,100,100,100,8.5,0.5,74.18,7.769(0.008),257.501(3.945),1.499(0.001),0(0),0.963(0.008),0.037(0.008)
Eric,dirichlet,100,100,100,8.5,0.5,58.21,7.6(0.037),250.113(3.533),1.477(0.005),0.001(0),0.835(0.017),0.165(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,45.68,7.055(0.068),227.242(2.977),1.418(0.01),0.007(0.001),0.667(0.021),0.333(0.021)
Eric,dirichlet,100,100,100,8.5,0.5,35.85,6.353(0.091),197.746(2.877),1.353(0.013),0.019(0.001),0.507(0.017),0.493(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,28.13,5.658(0.106),167.29(2.869),1.289(0.016),0.043(0.002),0.395(0.018),0.605(0.018)
Eric,dirichlet,100,100,100,8.5,0.5,22.08,5.102(0.116),140.468(2.898),1.236(0.018),0.089(0.002),0.322(0.017),0.678(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,17.33,4.775(0.123),119.493(2.819),1.197(0.02),0.147(0.003),0.267(0.016),0.733(0.016)
Eric,dirichlet,100,100,100,8.5,0.5,13.6,5.145(0.152),116.738(3.303),1.176(0.021),0.217(0.003),0.25(0.016),0.75(0.016)
Eric,dirichlet,100,100,100,8.5,0.5,10.67,79.327(48.062),2225.569(1397.998),1.883(0.328),0.302(0.005),0.253(0.017),0.747(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,8.37,5600.999(1993.564),162743.785(58293.24),14.933(2.892),0.419(0.008),0.308(0.018),0.692(0.018)
Eric,dirichlet,100,100,100,8.5,0.5,6.57,43202.961(6627.204),1244450.814(193459.184),62.855(5.545),0.542(0.007),0.31(0.017),0.69(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,5.16,132186.754(12196.022),3786451.405(361300.709),120.237(6.603),0.636(0.005),0.267(0.017),0.733(0.017)
Eric,dirichlet,100,100,100,8.5,0.5,4.05,252809.145(17528.529),7260603.563(528007.353),165.92(6.856),0.713(0.005),0.205(0.016),0.795(0.016)
Eric,dirichlet,100,100,100,8.5,0.5,3.18,385763.6(22286.224),11078478.553(688947.395),199.695(7.063),0.777(0.005),0.163(0.016),0.837(0.016)
Eric,dirichlet,100,100,100,8.5,0.5,2.49,517568.216(26393.953),14828423.956(832618.032),226.701(7.142),0.826(0.004),0.133(0.014),0.867(0.014)
Eric,dirichlet,100,100,100,8.5,0.5,1.96,639560.634(29832.404),18277672.944(954468.315),247.53(7.204),0.867(0.004),0.113(0.013),0.887(0.013)
Eric,dirichlet,100,100,100,2.5,0.5,73.79,7.78(0),252.809(4.021),1.5(0),0(0),0.995(0.003),0.005(0.003)
Coda,dirichlet,100,100,100,2.5,0.5,73.79,7.78(0),252.809(4.021),1.5(0),0(0),0.995(0.003),0.005(0.003)
Eric,dirichlet,100,100,100,2.5,0.5,57.91,7.665(0.032),247.4(3.438),1.483(0.005),0(0),0.895(0.015),0.105(0.015)
Coda,dirichlet,100,100,100,2.5,0.5,57.91,7.676(0.029),247.937(3.473),1.484(0.005),0(0),0.895(0.015),0.105(0.015)
Eric,dirichlet,100,100,100,2.5,0.5,45.44,6.958(0.084),217.937(2.356),1.393(0.013),0(0),0.695(0.019),0.305(0.019)
Coda,dirichlet,100,100,100,2.5,0.5,45.44,7.042(0.076),221.474(2.329),1.401(0.012),0(0),0.695(0.019),0.305(0.019)
